ip,hostname,city,region,country,loc,org,postal,timezone
2001:4453:3ef:a100:ddd2:8bab:7b0d:e504,,Bel Air,Metro Manila,PH,"14.5594,121.0258",AS9299 Philippine Long Distance Telephone Company,1206,Asia/Manila
67.193.147.60,d67-193-147-60.home3.cgocable.net,Kingston,Ontario,CA,"44.2411,-76.5788",AS7992 Cogeco Connexion Inc.,K7M,America/Toronto
2600:6c58:200:6f9d:2187:3d69:172:270c,,Alexander City,Alabama,US,"32.9440,-85.9539",AS20115 Charter Communications,35010,America/Chicago
84.205.55.39,39.55.205.84.cust.hbb.no,Indre Ålvik,Vestland,NO,"60.4309,6.4291",AS2116 GLOBALCONNECT AS,5614,Europe/Oslo
82.22.220.30,cpc131440-bagu18-2-0-cust29.know.cable.virginm.net,Manchester,England,GB,"53.4551,-2.2645",AS5089 Virgin Media Limited,M16,Europe/London
2603:7081:7441:ec00:b993:255d:5238:e7af,,Buffalo,New York,US,"42.9685,-78.7492",AS11351 Charter Communications Inc,14221,America/New_York
2601:84:8602:74b0:3551:323f:dbdf:746,,Mount Laurel,New Jersey,US,"39.9340,-74.8910","AS33659 Comcast Cable Communications, LLC",08054,America/New_York
24.133.100.249,,Odunpazarı,Eskişehir,TR,"39.7339,30.5338",AS47524 Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.,26030,Europe/Istanbul
129.255.248.55,,Iowa City,Iowa,US,"41.6649,-91.5151",AS3676 University of Iowa,52245,America/Chicago
2603:7081:1700:49e2:61e9:3423:9a97:8c7b,,Rochester,New York,US,"43.1317,-77.6062",AS11351 Charter Communications Inc,14620,America/New_York
2607:fea8:4ee0:bd00:59c4:e8e0:3dec:e022,,Toronto,Ontario,CA,"43.6060,-79.6708",AS812 Rogers Communications Canada Inc.,L5R,America/Toronto
2a00:23c6:ba07:b501:105f:12fb:97e3:2464,,London,England,GB,"51.5085,-0.1257",AS2856 British Telecommunications PLC,EC1A,Europe/London
2601:40d:c102:2a50:bcf5:d412:567e:d767,,Warren,Michigan,US,"42.5125,-83.0643","AS33668 Comcast Cable Communications, LLC",48092,America/Detroit
2601:40d:c102:2a50:cff:d734:5971:4fe,,Warren,Michigan,US,"42.5125,-83.0643","AS33668 Comcast Cable Communications, LLC",48092,America/Detroit
184.179.123.122,wsip-184-179-123-122.tu.ok.cox.net,Tulsa,Oklahoma,US,"36.1442,-95.9734",AS22773 Cox Communications Inc.,74120,America/Chicago
174.242.136.3,3.sub-174-242-136.myvzw.com,Ashburn,Virginia,US,"39.0437,-77.4875",AS6167 Verizon Business,20147,America/New_York
